GoodsID,TransactionID
194,112
194,167
194,235
194,310
194,488
194,512
194,545
194,926
194,1007
194,1209
194,1392
194,1456
194,1656
194,2030
194,2054
194,2571
194,2582
194,2636
194,2941
194,2996
194,3123
194,3248
194,3340
194,3560
194,3575
194,3582
194,3609
194,3635
194,3673
194,4582
194,4948
194,5116
194,5118
194,5196
194,5682
194,6129
194,6387
194,6451
194,6604
194,6720
194,6886
194,6997
194,7018
194,7058
194,7072
194,7260
194,7263
194,7359
194,7398
194,7480
194,7627
194,7652
194,7707
194,7714
194,7783
194,7787
194,7863
194,7894
194,7906
194,7998
194,8040
194,8127
194,8167
194,8314
194,8497
194,9335
194,9538
194,9607
194,9670
194,10280
194,10351
194,10369
194,10586
194,10766
194,11108
194,11221
194,11295
194,11359
194,11577
194,11686
194,11770
194,11776
194,11944
194,12017
194,12067
194,12205
194,12396
194,12458
194,12762
194,12898
194,12955
194,13036
194,13112
194,13172
194,13239
194,13240
194,13332
194,13366
194,13451
194,13890
194,13986
194,14021
194,14037
194,14169
194,14371
194,14841
194,14950
194,15125
194,15436
194,15521
194,15787
194,15802
194,15835
194,16182
194,16212
194,16253
194,16310
194,16388
194,16472
194,16488
194,16713
194,16894
194,16951
194,16988
194,17343
194,17464
194,17533
194,17556
194,17654
194,17755
194,17797
194,17864
194,17913
194,18109
194,18267
194,18590
194,18644
194,18875
194,18884
194,18966
194,18998
194,19025
194,19263
194,19613
194,19800
194,19808
194,19813
194,20032
194,20188
194,20325
194,20373
194,20402
194,20444
194,20451
194,20502
194,20564
194,20833
194,20867
194,20969
194,21040
194,21061
194,21203
194,21222
194,21258
194,21336
194,21353
194,21358
194,21624
194,21658
194,21775
194,21800
194,21871
194,21955
194,22092
194,22263
194,22313
194,22453
194,22484
194,22713
194,22833
194,22843
194,22894
194,23147
194,23152
194,23317
194,23571
194,23862
194,24040
194,24136
194,24174
194,24193
194,24222
194,24234
194,24252
194,24408
194,24462
194,24637
194,24780
194,24813
194,24929
194,24975
194,25163
194,25192
194,25396
194,25588
194,25703
194,25802
194,26014
194,26208
194,26403
194,26462
194,26481
194,26555
194,26931
194,27040
194,27153
194,27413
194,27836
194,28127
194,28459
194,28590
194,28766
194,28788
194,28920
194,29210
194,29591
194,29608
195,115
195,141
195,190
195,368
195,429
195,435
195,1125
195,1190
195,1519
195,1522
195,1646
195,1986
195,2043
195,2109
195,2187
195,2253
195,2391
195,2573
195,3097
195,3113
195,3169
195,3222
195,3425
195,3913
195,3960
195,4026
195,4216
195,4237
195,4309
195,4642
195,4652
195,4999
195,5212
195,5303
195,5652
195,6019
195,6138
195,6262
195,6394
195,6719
195,6755
195,6851
195,6981
195,7030
195,7346
195,7418
195,7832
195,8001
195,8003
195,8107
195,8133
195,8225
195,8282
195,8330
195,8375
195,8521
195,9042
195,9045
195,9185
195,10058
195,10114
195,10159
195,10178
195,10257
195,10582
195,10781
195,11152
195,11167
195,11195
195,11214
195,11319
195,11479
195,11490
195,11501
195,11543
195,11602
195,11604
195,11614
195,11632
195,11636
195,11674
195,11678
195,11929
195,12117
195,12216
195,12339
195,12376
195,12558
195,12703
195,12957
195,13210
195,13318
195,13358
195,13652
195,13766
195,13899
195,14053
195,14377
195,14427
195,14491
195,14508
195,14783
195,14871
195,14977
195,15065
195,15176
195,15548
195,15823
195,15843
195,15902
195,15914
195,16283
195,16382
195,16394
195,16569
195,16658
195,16918
195,16945
195,17315
195,17342
195,17855
195,18168
195,18240
195,18595
195,18628
195,19113
195,19320
195,19408
195,19519
195,19743
195,19817
195,19872
195,19907
195,20025
195,20029
195,20058
195,20445
195,20494
195,20684
195,20728
195,20731
195,20807
195,20915
195,20959
195,21148
195,21313
195,22049
195,22210
195,22219
195,22431
195,22558
195,22563
195,22579
195,22799
195,22858
195,22898
195,23091
195,23095
195,23191
195,23263
195,23366
195,23552
195,23888
195,23957
195,24170
195,24179
195,24258
195,24351
195,24498
195,24682
195,24828
195,24865
195,25180
195,25286
195,25482
195,25509
195,25545
195,25716
195,25918
195,26030
195,26083
195,26418
195,26780
195,26786
195,27012
195,27041
195,27042
195,27166
195,27201
195,27482
195,27498
195,27644
195,27671
195,27713
195,27728
195,27872
195,28017
195,28136
195,28214
195,28244
195,28474
195,28584
195,28630
195,28640
195,28766
195,28865
195,28940
195,29009
195,29516
195,29553
195,29568
195,29609
195,29669
195,29737
195,29789
195,29804
195,29851
195,29860
196,85
196,113
196,168
196,208
196,372
196,570
196,682
196,942
196,946
196,1289
196,1471
196,1616
196,2984
196,3152
196,3162
196,3237
196,3656
196,3956
196,4200
196,4529
196,4627
196,4641
196,5023
196,5027
196,5029
196,5035
196,5194
196,6304
196,6536
196,6586
196,6811
196,7303
196,7477
196,7775
196,8117
196,8216
196,8235
196,8386
196,8467
196,8500
196,9157
196,9267
196,9273
196,9378
196,9486
196,9638
196,9664
196,10024
196,10052
196,10054
196,10110
196,10350
196,10417
196,10482
196,10586
196,10819
196,10968
196,11083
196,11209
196,11682
196,11891
196,11919
196,12034
196,12049
196,12171
196,12192
196,12366
196,12530
196,12556
196,12580
196,12653
196,12716
196,13030
196,13206
196,13552
196,13608
196,13619
196,13647
196,14017
196,14018
196,14031
196,14229
196,14382
196,14408
196,14504
196,14658
196,14730
196,14742
196,14909
196,14917
196,14918
196,14972
196,15013
196,15265
